ID,Title,SortTitle,Filed As,CallNum,IsPartOf,Related,issn,eissn,country,provState,cityTown,location,holdingCoverage,contentStart,contentEnd,gaps,pubDate,pubHistoryImage,notesTitle,frequency,localNotes,Column,Column2,First Issue Verbatim Date,First Issue Start Date,First Issue End Date,Last Issue Verbatim Date,Last Issue Start Date,Last Issue End Date
716,La Presse,Presse,,,716,N,0317-9249,,CA,PQ,Montréal,HIL-MIC,"Jan 2, 1914 - Feb 20, 1946 ",1914-01-02,1946-02-20,N,"Oct 20, 1884 - Current ",N,,Daily,French language newspaper.,,,"Oct 20, 1884 ",20/10/1884,,Present,,
717,Le Quartier-Latin,Quartier-Latin,,LH3 .M7 Q2 ,717,N,0832-4131,,CA,PQ,Montréal,HIL-MIC,"Jan 9, 1919 - May 6, 1926; Oct 7, 1926 - Dec 17, 1937; Jan 14, 1938 - Jan 29, 1952",1919-01-09,1952-01-29,Y,"Jan 9, 1919 - Mar 25, 1969",N,,,French language newspaper.,,,09-Jan-19,09/01/1919,,25-Mar-69,25/03/1969,
718,Searchlight,Searchlight,,HD8101 .C36 ,718,N,,,CA,PQ,Montréal,HIL-MIC,"[July 1, 1937 - Aug 4, 1949] ",1937-07-01,1949-08-04,Y,1937 - ?,N,,Semi-monthly,,,,1937,01/01/1937,31/12/1937,?,,
719,Spitfire = Le Spitfire,Spitfire = Le Spitfire,,HD8101 .S56 ,719,N,,,CA,PQ,Montréal,HIL-MIC,Feb 1942 - June 1945 ,1942-02-01,1945-06-01,,1940 - ?,N,,,v.3 no.1 - v.6 no.3|Fourth on reel.,,,1940,01/01/1940,31/12/1940,?,,
720,"Star (Montréal, Québec)","Star (Montréal, Québec)",Montreal Star,,721,N,0842-1293,,CA,PQ,Montréal,HIL-MIC,"Apr 16, 1877 - 1880",1877-04-16,1880-01-01,N,"Apr 16, 1877 - 1880",Y,,,,,,"Apr 16, 1877 ",16/04/1877,,1880,01/01/1880,12/07/1882
721,The Montreal Star (1958),Montreal Star (1958),Montreal Star,,721,N,0842-1331,,CA,PQ,Montréal ,HIL-MIC,"June 28, 1958 - Sept 23, 1979",1958-06-28,1979-09-23,N,"June 28, 1958 - Sept 25, 1979",Y,,,,,,28-Jun-58,28/06/1958,,25-Sep-79,25/09/1979,
722,"Vindicator (Montréal, Québec)","Vindicator (Montréal, Québec)",Vindicator (Québec),,723,N,1717-7707,,CA,PQ,Montréal,HIL-MIC,"July 5, 1831 - July 17, 1832 ",1831-07-05,1832-07-17,N,"July 5, 1831 - July 17, 1832 ",N,,Semi-weekly,,,,"July 5, 1831 ",05/07/1831,,"July 17, 1832",17/07/1832,
723,Vindicator and Canadian Advertiser,Vindicator and Canadian Advertiser,Vindicator (Québec),,723,N,1186-5466,,CA,PQ,Montréal,HIL-MIC,"Nov 2, 1832 - Oct 31, 1837",1832-11-02,1837-10-31,N,"Nov 2, 1832 - Nov 7, 1837",N,,Semi-weekly,,,,"Nov 2, 1832 ",02/11/1832,,"Nov 7, 1837",07/11/1837,
724,Les Vrai Débats,Vrai Débats,L'Avenir ,,676,N,,,CA,PQ,Montréal,HIL-MIC,14-Oct-00,1900-10-14,1900-10-14,N,14-Oct-00,N,,,French language newspaper.,,,14-Oct-00,14/10/1900,,,,
725,Weekend Magazine,Weekend Magazine,Montreal Star,,721,Y,0043-1826,,CA,PQ,Montréal,HIL-MIC,? - 1979,1951-01-01,1979-01-01,N,? - 1979,Y,,Weekly,"The Weekend Picture Magazine was a supplementary magazine in newspaper which began publication in Sept 1951 in nine newspapers. By the 1960s, the paper was carried in over 41 newspapers. In our collection, it is filmed along with the Montreal Star. The Weekend Magazine merges with the Canadian to form the Canadian Weekend. The Canadian (Toronto, Ontario) and the Canadian Weekend (Toronto, Ontario) are filmed along with the Ottawa Citizen in our collection.",,,? ,,,1979,01/01/1979,12/07/1981
726,Montreal Star and Herald,Montreal Star and Herald,Montreal Star,,721,N,0842-1323,,CA,PQ,Montréal ,HIL-MIC,"Oct 19, 1957-June 26, 1958",1957-10-19,1958-06-26,N,"Oct 19, 1957-June 26, 1958",Y,,,,,,19-Oct-57,19/10/1957,,26-Jun-58,26/06/1958,
727,The Montréal Daily Star,Montréal Daily Star,Montreal Star,,721,N,0842-1307,,CA,PQ,Montréal ,HIL-MIC,"Jan 5, 1881 - Sept 7, 1951",1881-01-05,1951-09-07,N,"Jan 5, 1881 - Sept 7, 1951",Y,,,,,,"Jan 5, 1881 ",05/01/1881,,07-Sep-51,07/09/1951,
728,Daily Witness,Daily Witness,Witness,,728,N,0841-7164,,CA,PQ,Montréal ,HIL-MIC,"Jan 2, 1862 - Dec 31, 1879 ",1862-01-02,1879-12-31,N,"Aug 13, 1860 - July 11, 1913",N,"Variant titles: Witness, Montreal Daily Witness.",Daily,,,,"Aug 13, 1860 ",13/08/1860,,11-Jul-13,11/07/1913,
729,Montréal Gazette (1824),Montréal Gazette (1824),Montreal Gazette ,,701,N,0839-3257,,CA,PQ,Montréal ,HIL-MIC,"Nov 20, 1824 - June 1, 1867",1824-11-20,1867-06-01,N,"Nov 20, 1824 - June 1, 1867",N,,Daily,,,,"Nov 20, 1824 ",20/11/1824,,"June 1, 1867",01/06/1867,
730,Montréal Herald,Montreal Herald,Montreal Herald,,731,N,0841-7121,,CA,PQ,Montréal ,HIL-MIC,"Oct 19, 1811 - Dec 30, 1826",1811-10-19,1826-12-30,,"Oct 19, 1811 - 1834",N,,Weekly,,,,19-Oct-11,19/10/1811,,1834,01/01/1834,12/07/1836
731,Montréal Herald and Daily Commercial Advertiser,Montreal Herald and Daily Commercial Advertiser,Montreal Herald,,731,N,0841-7288,,CA,PQ,Montréal ,HIL-MIC,"Jan 2, 1863 - Dec 31, 1873 ",1863-01-02,1873-12-31,,1834 - 1885,N,,Daily,,,,1834,01/01/1834,31/12/1834,1885,01/01/1885,12/07/1887
732,The Montreal Star (1951),Montreal Star (1951),Montreal Star,,721,N,0842-1315,,CA,PQ,Montréal ,HIL-MIC,"Sept 1951 - Oct 17, 1957",1951-09-01,1957-10-17,N,"Sept 1951 - Oct 17, 1957",Y,,Daily,,,,Sep-51,01/09/1951,30/09/1951,17-Oct-57,17/10/1957,
733,Les Debats,Debats,Debats ,,734,N,1717-2721,,CA,PQ,Montréal,HIL-MIC,"Dec 31, 1899 - Oct 4, 1903",1899-12-31,1903-10-04,N,"Dec 31, 1899 - Oct 4, 1903",N,,Weekly,French language newspaper.,,,"Dec 31, 1899 ",31/12/1899,,04-Oct-03,04/10/1903,
734,"L'Action (Montréal, Québec)",Action,Debats ,,734,N,,,CA,PQ,Montréal,HIL-MIC,31-Jan-04,1904-01-31,1904-01-31,N,,N,,Weekly,French language newspaper.,,,,,,,,
735,Le Combat,Combat,Debats ,,734,N,1717-273X,,CA,PQ,Montréal,HIL-MIC,"Oct 11, 1903 - Jan 29, 1904",1903-10-11,1904-01-29,N,"Oct 11, 1903 - Jan 29, 1904",N,,Weekly,French language newspaper.,,,11-Oct-03,11/10/1903,,29-Jan-04,29/01/1904,
736,L'Action Catholique,Action Catholique,L'Action Catholique,,736,N,,,CA,PQ,Québec,HIL-MIC,"June 9, 1915 - Dec 31, 1945",1915-06-09,1945-12-31,N,"June 9, 1915 - Aug 15, 1962",N,,Daily,French language newspaper.,,,09-Jun-15,09/06/1915,,15-Aug-62,15/08/1962,
737,L'Action Sociale Catholique,Action Sociale Catholique,L'Action Catholique,,736,N,,,CA,PQ,Québec,HIL-MIC,"Feb 1, 1915 - June 8, 1915",1915-02-01,1915-06-08,N,"Dec 21, 1907 - June 8, 1915",N,,,French language newspaper.,,,21-Dec-07,21/12/1907,,08-Jun-15,08/06/1915,
738,"L'Artisan (Québec, Québec)","Artisan (Québec, Québec)",L'Artisan (Québec),,738,N,,,CA,PQ,Québec,HIL-MIC,"[Oct 10, 1842 - Dec 29, 1842]; [Feb 6, 1843 - July 13, 1843]; [Feb 20, 1844 - Sept 26, 1844]",1842-10-10,1844-09-26,Y,"Oct 10, 1842 - Sept 26, 1844",N,,,"French language newspaper.|There were no editions published July 13, 1843 - Jan 1844. ",,,"Oct 10, 1842 ",10/10/1842,,"Sept 26, 1844",26/09/1844,
739,The British Canadian Review,British Canadian Review,British Canadian Review,,739,N,0703-5209,,CA,PQ,Québec,HIL-MIC,Dec 1862 - Feb 1863 ,1862-12-01,1863-02-01,N,Dec 1862 - Feb 1863 ,N,,Monthly,"v.1, no.1-3 ",,,Dec 1862 ,01/12/1862,31/12/1862,Feb 1863,01/02/1863,28/02/1863
740,Le Canadien,Canadien,Le Canadien,,740,N,,,CA,PQ,Québec,HIL-MIC,"Nov 22, 1806 - Mar 2, 1825 ",1806-11-22,1825-03-02,N,"Nov 22, 1806 - Feb 11, 1893",N,,Weekly,French language newspaper.,,,"Nov 22, 1806 ",22/11/1806,,"Feb 11, 1893",11/02/1893,
741,Le Courrier du Canada,Courrier du Canada,Le Courrier du Canada,,741,N,1707-6447,,CA,PQ,Québec,HIL-MIC,"Feb 2, 1857 - Dec 31, 1873 ",1857-02-02,1873-12-31,N,"Feb 2, 1857 - Apr 11, 1901",N,,"Daily June 11, 1877-Apr 11, 1901; 3 times a week, Aug 3, 1857-June 10, 1877; Daily, Feb 2-Aug 2, 1857",French language newspaper.,,,"Feb 2, 1857 ",02/02/1857,,11-Apr-01,11/04/1901,
742,Examiner and General Intelligencer,Examiner and General Intelligencer,Examiner,,620,N,1181-263X,,CA,PE,Charlottetown,HIL-MIC,"Jan 12, 1850 - Feb 16, 1850",1850-01-12,1850-02-16,N,"Jan 12, 1850 - Feb 16, 1850",N,,Weekly,,,,"Jan 12, 1850 ",12/01/1850,,"Feb 16, 1850",16/02/1850,
743,Herald and Universal Miscellany,Herald and Universal Miscellany,Quebec Herald and Universal Miscellany,,744,N,0845-6844,,CA,PQ,Québec,HIL-MIC,"Dec 1, 1788 - Nov 16, 1789",1788-12-01,1789-11-16,N,"Dec 1, 1788 - Nov 16, 1789",N,,,,,,"Dec 1, 1788 ",01/12/1788,,"Nov 16, 1789",16/11/1789,
744,"Herald, Miscellany & Advertiser","Herald, Miscellany & Advertiser",Quebec Herald and Universal Miscellany,,744,N,0845-6852,,CA,PQ,Québec,HIL-MIC,"Nov 26, 1789 - July 4, 1791",1789-11-26,1791-07-04,N,"Nov 26, 1789 - Feb 1973",N,,Semi-weekly,,,,"Nov 26, 1789 ",26/11/1789,,Feb-73,01/02/1973,28/02/1973
745,Le Journal de Quebec,Journal de Quebec,Le Journal de Quebec,,745,N,0839-1084,,CA,PQ,Québec,HIL-MIC,"Dec 10, 1842 - Dec 31, 1853; Jan 2, 1862 - Dec 31, 1873 ",1842-12-10,1873-12-31,Y,"Dec 1, 1842 - Oct 1, 1889 ",N,,"Tri-weekly, June 1843-1889; 2x/week, 1842-May 1843",French language newspaper.,,,"Dec 1, 1842 ",01/12/1842,,"Oct 1, 1889",01/10/1889,
746,"Morning Chronicle (Québec, Québec)","Morning Chronicle (Québec, Québec)",Morning Chronicle ,,747,N,0841-2022,,CA,PQ,Québec,HIL-MIC,"May 18, 1847 - Nov 2, 1850",1847-05-18,1850-11-02,N,"May 18, 1847 - Nov 2, 1850",N,,Daily,,,,"May 18, 1847 ",18/05/1847,,"Nov 2, 1850",02/11/1850,
747,Morning Chronicle and Commercial and Shipping Gazette,Morning Chronicle and Commercial and Shipping Gazette,Morning Chronicle ,,747,N,0841-2030,,CA,PQ,Québec,HIL-MIC,"Nov 4, 1850 - Dec 31, 1873  ",1850-11-04,1873-12-31,N,"Nov 4, 1850 - 1888",N,,Daily,,,,"Nov 4, 1850 ",04/11/1850,,1888,01/01/1888,12/07/1890
748,Quebec Herald and Universal Miscellany ,Quebec Herald and Universal Miscellany ,Quebec Herald and Universal Miscellany,,744,N,0845-6836,,CA,PQ,Québec,HIL-MIC,"Nov 24, 1788",1788-11-24,1788-11-24,N,"Nov 24, 1788",N,,,,,,"Nov 24, 1788",24/11/1788,,,,
749,Quebec Mercury,Quebec Mercury,Quebec Mercury,,749,N,1497-8423,,CA,PQ,Québec,HIL-MIC,"Jan 5, 1805 - Dec 29, 1820 ",1805-01-05,1820-12-29,N,"Jan 1805 - Jan 8, 1863",N,,Weekly,,,,Jan 1805 ,01/01/1805,31/01/1805,"Jan 8, 1863",08/01/1863,
750,Le Soliel,Soliel,Le Soliel,,750,N,,,CA,PQ,Québec,HIL-MIC,"Oct 23, 1913 - Dec 31, 1945 ",1913-10-23,1945-12-31,N,"Dec 28, 1896 - Current ",N,,,French language newspaper.,,,"Dec 28, 1896 ",28/12/1896,,Present,,
751,Le Syndicaliste,Syndicaliste,,HD8102 .S92 ,751,N,1707-3146,,CA,PQ,Québec,HIL-MIC,Dec 1940 - Nov 1942 ,1940-12-01,1942-11-01,N,Dec 1940 - Nov 1942 ,N,,,v.1 no.1 - v.2 no. 12|French language newspaper.,,,Dec-40,01/12/1940,31/12/1940,Nov-42,01/11/1942,30/11/1942
752,The Quebec Gazette = La Gazette du Quebec,Quebec Gazette = La Gazette du Quebec,"Quebec Gazette, reels 26-39",,752,N,,,CA,PQ,Québec,HIL-MIC,"Jan 21, 1764 - Dec 25, 1817 ",1764-01-21,1817-12-25,N,"June 21, 1764 - Apr 24, 1924",N,,Daily,Newspaper containing both French and English sections.|Official gazette from 1764-1823 because the government published all its official announcements in it.,,,"June 21, 1764 ",21/06/1764,,24-Apr-24,24/04/1924,
753,Le Vrai Canadien,Vrai Canadien,Le Vrai Canadien,,753,N,,,CA,PQ,Québec,HIL-MIC,"Mar 10, 1810 - Mar 6, 1811 ",1810-03-10,1811-03-06,N,"Mar 10, 1810 - Mar 6, 1811 ",N,,Weekly,French language newspaper.,,,"Mar 10, 1810 ",10/03/1810,,"Mar 6, 1811",06/03/1811,
754,British Colonist and Saint Francis Gazette ,British Colonist and Saint Francis Gazette ,British Colonist (Stanstead),,754,N,0845-4094,,CA,PQ,Stanstead,HIL-MIC,"May 1, 1823 - Aug 4, 1831 ",1832-05-01,1831-08-04,N,"May 1, 1823 - 1831?",N,,Weekly,,,,"May 1, 1823 ",01/05/1823,,1831?,01/01/1831,12/07/1833
755,Gazette des Trois-Rivières ,Gazette des Trois-Rivières ,Gazette des Trois Rivieres ,,755,N,1717-1547,,CA,PQ,Trois-Rivières ,HIL-MIC,"Aug 12, 1817 - Feb 7, 1821 ",1817-08-12,1821-02-07,N,"Aug 12, 1817 - Feb 7, 1821 ",N,,Weekly,French language newspaper.,,,"Aug 12, 1817 ",12/08/1817,,"Feb 7, 1821",07/02/1821,
756,Le Débardeur = Longshoreman,Débardeur = Longshoreman,,HD8101 .L66,756,N,,,CA,PQ ,Montréal,HIL-MIC,1924 - 1926,1924-01-01,1926-01-01,N,1924 - 1926,N,,,no.1-3|Newspaper containing both French and English sections.,,,1924,01/01/1924,31/12/1924,1926,01/01/1926,12/07/1928
757,The Commonwealth,Commonwealth,The Commonwealth,,757,N,0010-3357,,CA,SK,Regina,HIL-MIC,"Apr 10, 1946 - Dec 30, 1964",1946-04-10,1964-12-30,N,"Apr 10, 1946 - Current",N,,Monthly,"Reel 11 is filmed with the dates descending rather than ascending (Dec-Jan 1963, Dec-Jan 1964). ",,,10-Apr-46,10/04/1946,,Present,,
758,Labor's Realm,Labor's Realm,,HD8101 .L32 ,758,N,,,CA,SK,Regina,HIL-MIC,"May 1, 1909 - Apr 1, 1910 ",1909-05-01,1910-04-01,N,"May 1, 1909 - ?",N,,Monthly,Third on reel. ,,,01-May-09,01/05/1909,,?,,
759,Saskatchewan Commonwealth,Saskatchewan Commonwealth,The Commonwealth,,757,N,,,CA,SK,Regina,HIL-MIC,"Apr 13, 1938 - Apr 3, 1946",1938-04-13,1946-04-03,N,"Apr 13, 1938 - Apr 3, 1946",N,,Monthly,,,,13-Apr-38,13/04/1938,,03-Apr-46,03/04/1946,
760,The New Era,New Era,The Commonwealth,,757,N,,,CA,SK,Regina,HIL-MIC,"July 8, 1937 - Apr 13, 1938",1937-07-08,1938-04-13,N,"Feb 1936 - Apr 13, 1938",N,,,,,,Feb-36,01/02/1936,29/02/1936,13-Apr-38,13/04/1938,
761,Examiner and Semi-weekly Intelligencer,Examiner and Semi-weekly Intelligencer,Examiner,,620,N,1181-2648,,CA,PE,Charlottetown,HIL-MIC,"Feb 23, 1850 - Jan 11, 1851",1850-02-23,1851-01-11,N,"Feb 23, 1850 - Jan 11, 1851",N,,Semi-weekly,,,,"Feb 23, 1850 ",23/02/1850,,"Jan 11, 1851",11/01/1851,
762,Ceylon Daily News,Ceylon Daily News,Ceylon Daily News ,,762,N,,,LK,,Colombo,HIL-MIC,Jan 1941 - Dec 1955; Jan 1967 - Dec 1971 ,1941-01-01,1971-12-01,Y,"1918 - Dec 12, 1981 ",N,,Daily,Sri Lanka was known as Ceylon until 1972.,,,1918,01/01/1918,31/12/1918,12-Dec-81,12/12/1981,
763,North-China Herald,North-China Herald,North China Herald,,765,N,,,CN,CN-31,Shanghai,HIL-MIC,"Aug 3, 1850 - Mar 1867",1850-08-03,1867-03-01,N,"Aug 3 1850 - Mar 30, 1867",N,,Weekly,,,,Aug 3 1850 ,03/08/1850,,"Mar 30, 1867",30/03/1867,
764,North-China Herald and Market Report,North-China Herald and Market Report,North China Herald,,765,N,,,CN,CN-31,Shanghai,HIL-MIC,Apr 1867 - Dec 1869 ,1867-04-01,1869-12-01,N,Apr 1867 - Dec 1869 ,N,,Weekly,,,,Apr 1867 ,01/04/1867,30/04/1867,Dec 1869,01/12/1869,31/12/1869
765,North-China Herald and Supreme Court and,North-China Herald and Supreme Court and,North China Herald,,765,N,,,CN,CN-31,Shanghai,HIL-MIC,"Jan 1870 - Nov 19, 1941 ",1870-01-01,1941-11-19,N,"Jan 1870 - Nov 19, 1941 ",N,,Weekly,,,,Jan 1870 ,01/01/1870,31/01/1870,19-Nov-41,19/11/1941,
766,Granma,Granma,Granma,,766,N,,,CU,,Havana,HIL-MIC,Jan 1987 - Dec 1988  ,1987-01-01,1988-12-01,N,"Oct 4, 1965 - Current ",N,,Weekly,,,,04-Oct-65,04/10/1965,,Present,,
767,Felix Farley's Bristol Journal,Felix Farley's Bristol Journal,Felix Farley's Bristol Journal,,767,N,,,GB,,Bristol,HIL-MIC,Apr 1752 - Dec 1777; Jan 1782 - Dec 1787  ,1752-04-01,1787-12-01,Y,"Mar 28, 1752 - Mar 1853",N,,Weekly,,,,"Mar 28, 1752 ",28/03/1752,,Mar 1853,01/03/1853,31/03/1853
768,"Action (London, England)",Action,"Fascist Week, reels.1-3",,768,N,,,GB,,London,HIL-MIC,"Feb 21, 1936 - May 30, 1940",1936-02-21,1940-05-30,N,"Feb 21, 1936 - June 6, 1940 ",N,,Weekly,,,,21-Feb-36,21/02/1936,,06-Jun-40,06/06/1940,
769,Daily Universal Register,Daily Universal Register,The Times,,777,N,,,GB,,London,HIL-MIC,"Jan 1, 1785 - Dec 31, 1787",1785-01-01,1787-12-31,N,"Jan 1, 1785 - Dec 31, 1787",N,,Daily,,,,"Jan 1, 1785 ",01/01/1785,,"Dec 31, 1787",31/12/1787,
770,Fascist Quarterly,Fascist Quarterly,Fascist Quarterly ,,770,N,,,GB,,London,HIL-MIC,Jan 1935 - Oct 1936,1935-01-01,1936-10-01,N,Jan 1935 - Oct 1936,N,,Quarterly,"v.1, no.1-v.2, no.4",,,Jan-35,01/01/1935,31/01/1935,Oct-36,01/10/1936,31/10/1936
771,Fascist Week,Fascist Week,"Fascist Week, reel 1",,771,N,,,GB,,London,HIL-MIC,"Nov 10, 1933 - May 31, 1934",1933-11-10,1934-05-31,N,"Nov 10, 1933 - May 31, 1934",N,,Weekly,no. 1-29,,,10-Nov-33,10/11/1933,,31-May-34,31/05/1934,
772,The Illustrated London News,Illustrated London News,Illustrated London News,,772,N,,,GB,,London,HIL-MIC,"[Jan 4, 1845 - June 29, 1912]",1845-01-04,1912-06-29,Y,"May 14, 1842 - Dec 2003",N,,,"v.6-8, 15-17, 56-67",,,"May 14, 1842 ",14/05/1842,,Dec-03,01/12/2003,31/12/2003
773,London Chronicle,London Chronicle,London Chronicle,,773,N,,,GB,,London,HIL-MIC,1783 - 1787 ,1783-01-01,1904-11-21,N,1765 - 1823,N,,Tri-weekly,,,,1765,01/01/1765,31/12/1765,1823,01/01/1823,12/07/1825
774,The Manchester Guardian,Manchester Guardian,The Guardian (Manchester),,778,N,,,GB,,Manchester,HIL-MIC,"Jan 1953 - Aug 22, 1959",1953-01-01,1959-08-22,N,"Mar 8, 1828 - Aug 22, 1959",N,,Daily,,,,"Mar 8, 1828 ",08/03/1828,,22-Aug-59,22/08/1959,
775,The Northampton Mercury,Northampton Mercury,North Hampton Mercury,,775,N,,,GB,,London,HIL-MIC,"May 2, 1720 - Dec 1754 ",1720-05-02,1754-10-30,N,1720 - Oct 1931,N,Variant title: Monday's Post.,Weekly,,,,1720,01/01/1720,31/12/1720,Oct-31,01/10/1931,31/10/1931
776,"Times, or, Daily Universal Register","Times, or, Daily Universal Register",The Times,,777,N,,,GB,,London,HIL-MIC,"Jan 1, 1788 - Mar 17, 1788",1788-01-01,1788-03-17,N,"Jan 1, 1788 - Mar 17, 1788",N,,Daily,,,,"Jan 1, 1788 ",01/01/1788,,"Mar 17, 1788",17/03/1788,
777,"The Times (London, England)","Times (London, England)",The Times,,777,N,0140-0460,,GB,,London,HIL-MIC,"Mar 18, 1788 - November 30, 2015 ",1788-03-18,2015-11-30,N,"Mar 18, 1788 - Current ",N,,Daily,"Current print copies can be found in HIL-CURREP, first floor, which are kept until the microfilm is received. ",,,"Mar 18, 1788 ",18/03/1788,,Present,,
778,The Guardian Weekly (2000) ,Guardian Weekly (2000) ,Guardian Weekly,,778,Y,,,GB,,Manchester,HIL-MIC,"Feb 24, 2000 - Current",2000-02-24,0000-00-00,N,"Feb 24, 2000 - Current",N,"Weekly edition of the Guardian (Manchester, England)",Weekly,"Supplements: Le Monde, selections from the Washington Post, are included to Current.|Current print copies can be found in HIL-CURREP, first floor, which are kept until the microfilm is received. ",,,24-Feb-00,24/02/2000,,Present,,
779,The Guardian Weekly (1982),Guardian Weekly (1982),Guardian Weekly,,778,Y,,,GB,,Manchester,HIL-MIC,"Jan 3, 1982 - Dec 27, 1987",1982-01-03,1987-12-27,N,"Jan 3, 1982 - Dec 27, 1987",N,"Weekly edition of the Guardian (Manchester, England)",Weekly,,,,03-Jan-82,03/01/1982,,27-Dec-87,27/12/1987,
780,Harrop's Manchester Mercury,Harrop's Manchester Mercury,Manchester Mercury ,,784,N,,,GB,,Manchester,HIL-MIC,"Mar 3, 1752 - Apr 21, 1752 ",1752-03-03,1752-04-21,N,"1752? - Apr 21, 1752",N,,Weekly,,,,1752? ,01/01/1752,31/12/1752,"Apr 21, 1752",21/04/1752,
781,Harrop's Manchester Mercury and General Advertiser,Harrop's Manchester Mercury and General Advertiser,Manchester Mercury ,,784,N,,,GB,,Manchester,HIL-MIC,"Apr 28, 1752 - July 5, 1757 ",1752-04-28,1757-07-05,N,"Apr 28, 1752 - July 5, 1757",N,,Weekly,,,,"Apr 28, 1752 ",28/04/1752,,"July 5, 1757",05/07/1757,
782,The Manchester Guardian Weekly,Manchester Guardian Weekly,Guardian Weekly,,778,Y,,,GB,,Manchester,HIL-MIC,"Jan 3, 1988 - Feb 23, 2000",1988-01-03,2000-02-23,N,"Jan 3, 1988 - Feb 23, 2000",N,"Weekly edition of the Guardian (Manchester, England)",Weekly,"Supplements Le Monde, selections from the Washington Post, are included from Jan. 4, 1998 - Feb. 23, 2000. ",,,03-Jan-88,03/01/1988,,23-Feb-00,23/02/2000,
783,"The Guardian (Manchester, England)","Guardian (Manchester, England)",The Guardian (Manchester),,778,N,,,GB,,Manchester,HIL-MIC,"Aug 24, 1959 - Dec 1981",1959-08-24,1981-12-01,N,"Aug 24, 1959 - Dec 1981",N,,Daily,Jan. - May 1976 missing. ,,,24-Aug-59,24/08/1959,,Dec-81,01/12/1981,31/12/1981
784,Manchester Mercury and Harrop's General Advertiser,Manchester Mercury and Harrop's General Advertiser,Manchester Mercury ,,784,N,,,GB,,Manchester,HIL-MIC,"July 12, 1757 - 1791",1757-07-12,1791-01-01,N,"July 12, 1757 - 1830",N,,Weekly,,,,"July 12, 1757 ",12/07/1757,,1830,01/01/1830,12/07/1832
785,Army Ordnance,Army Ordnance,Ordnance ,,786,N,0097-3696,,US,DC,Washington,HIL-MIC,[1920 - May/June 1947],1920-01-01,1947-06-01,Y,July-Aug 1920 - May-June 1947,N,,Bimonthly,,,,July-Aug 1920,01/07/1920,31/08/1920,May-June 1947,05/06/1947,30/06/1947
786,Ordnance,Ordnance,Ordnance ,,786,N,0030-4557,,US,DC,Washington,HIL-MIC,[July - Aug 1947 - 1972],1947-07-01,1972-01-01,Y,July-Aug 1947 - July-Aug 1973,N,,Bimonthly,,,,July-Aug 1947,01/07/1947,31/08/1947,July-Aug 1973,01/07/1973,31/08/1973
787,Washington Post,Washington Post,Washington Post,,787,N,0190-8286,,US,DC,Washington,HIL-MIC,"Jan 1, 1973 - Dec 31, 1982",1973-01-01,1982-12-31,N,"Oct 3, 1877 - Current",N,,Daily,,,,"Oct 3, 1877 ",03/10/1877,,Present,,
788,The Georgia Gazette,Georgia Gazette,"Early American Newspapers, box 10 ",,788,N,,,US,GA,Savannah,HIL-MICP,"June 22, 1768; May 24, 31 1769; May 2, 1770; Jan 5, 1774; Feb 17, 1776; Jan 4, Feb 8-Mar 15, Apr 5, Apr 12, May 3, May 10, 1778",1768-06-22,1778-05-10,Y,"Apr 7, 1763 - Nov 25, 1802",N,,Weekly,,,,"Apr 7, 1763 ",07/04/1763,,"Nov 25, 1802",25/11/1802,
789,Royal Georgia Gazette,Royal Georgia Gazette,Georgia Gazette ,,789,N,,,US,GA,Savannah,HIL-MIC,"Feb 11, Mar 11, Aug 12, Aug 20, 1779; July 27, Aug 3, Aug 31, Sept 7, Sept 28, 1780; Jan 3, Jan 4, Jan 24, Mar 14, Mar 21, Apr 25, May 23, May 30, June 6, Dec 13, 1781 ",1779-02-11,1781-12-13,Y,"Jan 21, 1779 - 1782 ",N,,Weekly,,,,"Jan 21, 1779 ",21/01/1779,,1782,01/01/1782,12/07/1784
790,National Catholic Reporter,National Catholic Reporter,National Catholic Reporter,,790,N,0027-8939,,US,KS,Kansas City,HIL-MIC,1964 - 1972,1964-01-01,1972-01-01,N,1964 - Current ,N,,2x/week,v.1-8,,,1964,01/01/1964,31/12/1964,Present,,
791,Bangor Daily Whig and Courier,Bangor Daily Whig and Courier,Bangor Daily Whig and Courier,,791,N,,,US,ME,Bangor,HIL-MIC,"July 1, 1836 - Nov 4, 1874 ",1836-07-01,1874-11-04,N,1834 - 1900,N,,Daily,Bangor was part of Mass. until the 1850s when it became a part of Maine,,,1834,01/01/1834,31/12/1834,1900,01/01/1900,12/07/1902
792,Maine Coast Fisherman,Maine Coast Fisherman,Maine Coast Fisherman ,,792,N,,,US,ME,Camden,HIL-MIC,1946 - 1950 ,1946-01-01,1950-01-01,N,1946 - 1960 ,N,,Monthly,"v.1-v.4 no.11|Published simultaneously at Belfast and Portland, Nov.1949-Mar. 1956.",,,1946,01/01/1946,31/12/1946,1960,01/01/1960,12/07/1962
793,Maryland Gazette (1827),Maryland Gazette (1827),Maryland Gazette,,793,N,,,US,MD,Annapolis,HIL-MIC,"Jan 4, 1827 - Dec 12, 1839",1827-01-04,1839-12-12,N,"Jan 4, 1827 - Dec 12, 1839",N,,Weekly,,,,"Jan 4, 1827 ",04/01/1827,,"Dec 12, 1839",12/12/1839,
